Day,Campaign name,Ad Set Name,Ad name,Amount spent (USD),Impressions,Link clicks,Family Form Submission
,,,,"$2,030.51","92,144","1,006",1
2025-01-14,2025_SF_Leads_Families,2025_SF_Leads_Families_PlaceOpt_GeoOnly,2025_SF_Leads_Families_PlaceOpt_GeoOnly_Static_NewTrust,$0.85,22,1,
2025-01-14,2025_SF_Leads_Families,2025_SF_Leads_Families_PlaceOpt_GeoOnly,2025_SF_Leads_Families_PlaceOpt_GeoOnly_Static_NewCost,$5.52,143,,
2025-01-14,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,$5.15,39,,
2025-01-14,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,$17.57,418,,
2025-01-14,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,$14.53,230,,
2025-01-14,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,$4.43,68,1,
2025-01-13,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,$15.84,351,,
2025-01-13,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,$82.22,"2,107",14,
2025-01-13,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,$93.69,"1,731",7,
2025-01-13,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,$19.81,399,,
2025-01-12,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,$87.92,"1,597",8,
2025-01-12,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,$33.03,327,4,
2025-01-12,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,$15.75,220,,
2025-01-12,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,$70.76,"1,464",12,
2025-01-11,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,$16.20,259,1,
2025-01-11,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,$65.89,"1,650",15,
2025-01-11,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,$84.56,"1,855",8,
2025-01-11,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,$30.99,514,9,
2025-01-10,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,$23.78,"1,220",1,
2025-01-10,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,$64.55,"3,342",22,
2025-01-10,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,$70.53,"2,628",11,
2025-01-10,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,$33.81,"2,430",10,
2025-01-09,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,$16.98,965,2,
2025-01-09,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,$45.29,"1,880",9,
2025-01-09,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,$37.90,"2,849",7,
2025-01-09,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,$61.88,"2,170",7,
2025-01-08,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,$18.91,"1,059",4,
2025-01-08,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,$32.65,"1,408",12,
2025-01-08,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,$51.08,"2,028",11,
2025-01-08,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,$40.16,"2,267",13,
2025-01-08,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,$0.00,0,,
2025-01-07,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,$0.00,0,,
2025-01-07,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,$27.30,"1,223",5,
2025-01-07,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,$26.19,931,7,
2025-01-07,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,$24.06,760,8,
2025-01-07,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,$21.93,"1,166",2,
2025-01-06,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,$8.74,708,18,
2025-01-06,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,$59.82,"2,626",66,
2025-01-05,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,$44.62,"2,624",45,
2025-01-05,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,$136.34,"4,951",109,1
2025-01-04,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,$35.09,"2,499",46,
2025-01-04,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,$88.61,"4,576",69,
2025-01-03,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,$57.11,"4,639",79,
2025-01-03,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,$78.82,"4,524",82,
2025-01-02,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,$69.45,"4,697",67,
2025-01-02,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,$62.90,"5,703",76,
2025-01-01,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,$74.22,"8,894",69,
2025-01-01,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,$53.08,"3,983",69,
